year,ipo_count,avg_first_day_return_pct,ipo_gross_proceeds_usd_m,cape,shiller_trailing_pe,forward_pe,sp500_year_end_close,sp500_forward_1y_return_pct,sp500_forward_3y_return_pct,sp500_forward_5y_return_pct,ipo_count_percentile_full,ipo_count_percentile_expanding,ipo_gross_proceeds_usd_m_percentile_full,ipo_gross_proceeds_usd_m_percentile_expanding,avg_first_day_return_pct_percentile_full,avg_first_day_return_pct_percentile_expanding,cape_percentile_full,cape_percentile_expanding,shiller_trailing_pe_percentile_full,shiller_trailing_pe_percentile_expanding,forward_pe_percentile_full,forward_pe_percentile_expanding,high_ipo_count_full_sample,high_cape_full_sample,high_forward_pe_full_sample,complete_ipo_year,valuation_data_basis
1960,269.0,17.8,553.0,18.34,17.12,,58.11000061035156,23.12855326147094,29.099975658411093,59.06040153906063,0.6818181818181818,1.0,0.19696969696969696,1.0,0.7651515151515151,1.0,0.34328358208955223,1.0,0.3582089552238806,1.0,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1961,435.0,34.1,1243.0,18.47,18.6,,71.55000305175781,-11.80992902477469,18.44863226447884,12.27113683411809,0.8636363636363636,1.0,0.2878787878787879,1.0,0.9090909090909091,1.0,0.3582089552238806,1.0,0.5522388059701493,1.0,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1962,298.0,-1.6,431.0,21.2,21.25,,63.099998474121094,18.890647317264197,46.48177898622876,52.88431624965555,0.7121212121212122,0.6666666666666666,0.18181818181818182,0.3333333333333333,0.045454545454545456,0.3333333333333333,0.4925373134328358,1.0,0.6716417910447762,1.0,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1963,83.0,3.9,246.0,19.26,17.66,,75.0199966430664,12.969879755163749,7.07811973553194,38.44308885336461,0.2878787878787879,0.25,0.07575757575757576,0.25,0.13636363636363635,0.5,0.3880597014925373,0.75,0.40298507462686567,0.5,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1964,97.0,5.3,380.0,21.63,18.77,,84.75,9.061947262744274,13.828909994929939,8.625365850848077,0.3333333333333333,0.4,0.15151515151515152,0.4,0.1590909090909091,0.6,0.5522388059701493,1.0,0.582089552238806,0.8,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1965,146.0,12.7,409.0,23.27,18.75,,92.43000030517578,-13.090986080461509,12.366115187100934,-0.30293062682289484,0.5151515151515151,0.5,0.16666666666666666,0.5,0.5681818181818182,0.6666666666666666,0.6119402985074627,1.0,0.5671641791044776,0.6666666666666666,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1966,85.0,7.1,275.0,24.06,17.81,,80.33000183105469,20.092118787191282,14.602260002693512,27.088253467988554,0.30303030303030304,0.2857142857142857,0.10606060606060606,0.2857142857142857,0.25757575757575757,0.5714285714285714,0.6417910447761194,1.0,0.43283582089552236,0.42857142857142855,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1967,100.0,37.7,641.0,20.43,15.31,,96.47000122070312,7.660411833873271,-4.47807571282286,22.369650210415326,0.36363636363636365,0.5,0.21212121212121213,0.875,0.9242424242424242,1.0,0.44776119402985076,0.5,0.2835820895522388,0.125,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1968,368.0,55.9,1205.0,21.51,17.71,,103.86000061035156,-11.361450974786269,-1.7042213191403754,-6.075483845091412,0.7878787878787878,0.8888888888888888,0.2727272727272727,0.8888888888888888,0.9696969696969697,1.0,0.5373134328358209,0.6666666666666666,0.417910447761194,0.4444444444444444,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1969,780.0,12.5,2605.0,21.19,17.65,,92.05999755859375,0.09776664096463605,28.23159481035409,-25.526831005011562,1.0,1.0,0.3484848484848485,1.0,0.5454545454545454,0.5,0.47761194029850745,0.5,0.3880597014925373,0.3,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
