date,sp500_close,running_peak_close,running_peak_date,drawdown_from_peak_pct,source
1959-01-02,55.439998626708984,55.439998626708984,1959-01-02,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-05,55.65999984741211,55.65999984741211,1959-01-05,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-06,55.59000015258789,55.65999984741211,1959-01-05,-0.12576301655787825,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-07,54.88999938964844,55.65999984741211,1959-01-05,-1.3834000357071052,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-08,55.400001525878906,55.65999984741211,1959-01-05,-0.46711879670493506,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-09,55.77000045776367,55.77000045776367,1959-01-09,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-12,55.779998779296875,55.779998779296875,1959-01-12,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-13,55.470001220703125,55.779998779296875,1959-01-12,-0.5557503861201352,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-14,55.619998931884766,55.779998779296875,1959-01-12,-0.28684089443095084,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-15,55.83000183105469,55.83000183105469,1959-01-15,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-16,55.810001373291016,55.83000183105469,1959-01-15,-0.035823852960270575,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-19,55.68000030517578,55.83000183105469,1959-01-15,-0.26867548085135473,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-20,55.720001220703125,55.83000183105469,1959-01-15,-0.19702777493081358,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-21,56.040000915527344,56.040000915527344,1959-01-21,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-22,55.970001220703125,56.040000915527344,1959-01-21,-0.12491023140726032,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-23,56.0,56.040000915527344,1959-01-21,-0.07137921997474317,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-26,55.77000045776367,56.040000915527344,1959-01-21,-0.48179952418391236,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-27,55.779998779296875,56.040000915527344,1959-01-21,-0.46395812273877235,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-28,55.15999984741211,56.040000915527344,1959-01-21,-1.5703088039590085,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-29,55.20000076293945,56.040000915527344,1959-01-21,-1.4989295839842653,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-01-30,55.45000076293945,56.040000915527344,1959-01-21,-1.052819669787719,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-02,55.209999084472656,56.040000915527344,1959-01-21,-1.4810881825391142,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-03,55.279998779296875,56.040000915527344,1959-01-21,-1.356177951131854,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-04,55.060001373291016,56.040000915527344,1959-01-21,-1.748750046798797,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-05,54.810001373291016,56.040000915527344,1959-01-21,-2.1948599609953323,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-06,54.369998931884766,56.040000915527344,1959-01-21,-2.9800177665233796,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-09,53.58000183105469,56.040000915527344,1959-01-21,-4.389719921990665,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-10,54.31999969482422,56.040000915527344,1959-01-21,-3.069238387943274,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-11,54.349998474121094,56.040000915527344,1959-01-21,-3.0157073765107456,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-12,54.0,56.040000915527344,1959-01-21,-3.6402585335470805,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-13,54.41999816894531,56.040000915527344,1959-01-21,-2.8907971451034853,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-16,54.5,56.040000915527344,1959-01-21,-2.748038705153999,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-17,54.290000915527344,56.040000915527344,1959-01-21,-3.122769399375791,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-02-18,54.29999923706055,56.040000915527344,1959-01-21,-3.10492799793064,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
