holder,class_a_m,class_b_m,economic_shares_m,economic_pct_basic,combined_voting_pct,note
Elon Musk,849.49444,5569.053075,6418.547515,49.086981466218745,84.4,Includes restricted Class B shares that may be voted; S-1/A ownership table.
Gwynne Shotwell,5.75961,7.11355,12.87316,0.09844977619234287,0.0,Less than 1% combined voting power.
Bret Johnsen,9.048565,0.0,9.048565,0.06920050703260636,0.0,CFO ownership; less than 1% voting power.
Antonio J. Gracias,503.41453,0.0,503.41453,3.8499519784166027,0.0,Director and Valor founder; 6.7% Class A after offering.
Luke Nosek,32.98736,0.0,32.98736,0.2522766911291589,0.0,Director; less than 1% voting power.
All executive officers and directors,1402.02727,5576.731275,6978.758545,53.37129476023371,85.3,Group table after offering.
Public IPO buyers,555.555555,0.0,555.555555,4.248709722567172,0.9,Approximate voting power: IPO Class A votes divided by total post-offering votes.
