tyear,doy_rank,cum_ret_pct
1.0,0,0.05157540650254945
1.0,1,0.5171714402661087
1.0,2,0.4204713444575545
1.0,3,-0.060658122441178006
1.0,4,-0.09639531619080924
1.0,5,-0.08370275448264239
1.0,6,-0.06318940417291655
1.0,7,0.23373353328739982
1.0,8,0.08178316921711253
1.0,9,0.10771612184559912
1.0,10,0.3875064617924597
1.0,11,0.11889097092998573
1.0,12,0.3286268134239106
1.0,13,0.29725334410441995
1.0,14,0.4450060151667599
1.0,15,0.6434641509118019
1.0,16,0.45409977644873567
1.0,17,0.7767044296274422
1.0,18,0.5998384061793365
1.0,19,0.8481806551369027
1.0,20,0.9683671370123431
1.0,21,1.0211804716610198
1.0,22,1.2046193926260056
1.0,23,1.1888287225428127
1.0,24,1.2713102188090428
1.0,25,1.2693497835391088
1.0,26,0.8535077768663721
1.0,27,0.9567286036133186
1.0,28,0.8074868386438193
1.0,29,0.6962250434945602
1.0,30,0.6163309607919055
1.0,31,0.402145287597825
1.0,32,0.2802884100491913
1.0,33,-0.14509628656438647
1.0,34,-0.2552437495697794
1.0,35,0.17960279943127383
1.0,36,-0.3058096059889186
1.0,37,-0.4386527762297027
1.0,38,-0.25187316053281555
1.0,39,-0.40043303488074355
1.0,40,-0.24168743629222997
1.0,41,-0.07560189824142051
1.0,42,0.02770115987287998
1.0,43,-0.1026446365596046
1.0,44,-0.25629526642058026
1.0,45,-0.21639886635120217
1.0,46,-0.21849795451288492
1.0,47,-0.1668998264560739
1.0,48,0.1996805135161586
1.0,49,0.11335561905286015
1.0,50,0.4321967427336853
1.0,51,0.10095045675737863
1.0,52,-0.21152642426983423
1.0,53,-0.19475493597272156
1.0,54,0.08402918554916686
1.0,55,0.15992931402628413
1.0,56,0.24645836839721977
1.0,57,0.31691524849032043
1.0,58,0.2263919496234256
1.0,59,-0.030215027158704815
1.0,60,-0.040099398484213684
1.0,61,-0.4090439417846094
1.0,62,-0.4994203628004455
1.0,63,-0.18386960209450035
1.0,64,-0.6038277812191499
1.0,65,-0.1345406144729051
1.0,66,-0.06370215986415592
1.0,67,0.39792342318731994
1.0,68,0.8228044943207743
1.0,69,0.6658890993540345
1.0,70,0.6515067872544007
1.0,71,1.0696191860822835
1.0,72,0.9152268526142254
1.0,73,0.760052536511309
1.0,74,0.9177541532262693
1.0,75,0.7146495053679855
1.0,76,0.8950867594206802
1.0,77,1.141364233404524
1.0,78,1.4292107788500819
1.0,79,1.5058056622842197
1.0,80,1.7676017978366942
1.0,81,1.9983680806119457
1.0,82,2.175144685326585
1.0,83,2.4705035074309096
1.0,84,2.5524808007111153
1.0,85,2.86956050085858
1.0,86,2.808374841296507
1.0,87,3.1201514504625836
1.0,88,2.878596656328152
1.0,89,2.7300645299165867
1.0,90,2.8295824982318134
1.0,91,3.279649592583485
1.0,92,3.3952775115253244
1.0,93,3.5293564881496797
1.0,94,3.549470870348008
1.0,95,3.6812528727630376
1.0,96,3.6232253673083177
1.0,97,3.5711586446833046
1.0,98,3.6404714797820703
1.0,99,3.530047474749076
1.0,100,3.37311880672962
1.0,101,3.32709144441824
1.0,102,3.3717705805654203
1.0,103,3.3085940077682565
1.0,104,3.4988387466580493
1.0,105,3.575949426668591
1.0,106,3.545338040438075
1.0,107,3.5360422207235356
1.0,108,3.6110636671521315
1.0,109,3.573001889636755
1.0,110,3.4570052441331214
1.0,111,3.2981394703588838
1.0,112,3.046764551048334
1.0,113,2.8138753845797653
1.0,114,2.91855363875786
1.0,115,2.971656050966998
1.0,116,3.273941445712889
1.0,117,2.8423805504321313
1.0,118,2.9113863346222706
1.0,119,2.918787074630831
1.0,120,2.9173761076711773
1.0,121,3.0948927500361925
1.0,122,3.180443678097453
1.0,123,3.2099814684474577
1.0,124,3.4238284845343503
1.0,125,3.140391184290825
1.0,126,3.4370320387671254
1.0,127,3.359721184579327
1.0,128,3.5561706328346694
1.0,129,3.954642497198028
1.0,130,4.059873982428405
1.0,131,4.171632831855055
1.0,132,4.334529911449181
1.0,133,4.466743356526616
1.0,134,4.6382907898684715
1.0,135,4.496711190167687
1.0,136,4.635334331299784
1.0,137,4.57192589264055
1.0,138,4.595095305456735
1.0,139,4.831911152073902
