event_class,anchor,event,series,pre60,pre20,post20,post60,post120
presidential,vote,1992 Clinton,SPX,0.11914124029507808,3.080891879206811,2.346514716206814,4.393389680794498,4.217751454055745
presidential,vote,1992 Clinton,VIX,14.51,19.95,-0.39000000000000057,-4.110000000000001,
presidential,known,1992 Clinton,SPX,-0.4282272520099137,3.1316442405333356,3.0225952111004792,5.913569547742223,4.891460549007531
presidential,known,1992 Clinton,VIX,15.09,21.02,-1.9499999999999975,-5.299999999999999,
presidential,vote,1996 Clinton,SPX,7.0134747176151215,1.9084818101778434,4.243936273143512,9.60812578317711,10.606737412143831
presidential,vote,1996 Clinton,Japan,-6.566910350785723,-3.118292743668806,0.4514680354526613,-16.172073868780366,-15.641568645811049
presidential,vote,1996 Clinton,Europe,4.348584683128723,1.1267319355741856,1.7680430888137935,3.2846826774246156,10.339786078966691
presidential,vote,1996 Clinton,VIX,15.57,15.58,-1.0700000000000003,-0.10999999999999943,
presidential,known,1996 Clinton,SPX,9.306317680210228,3.919371481839769,2.694564897998165,8.227907504853365,10.067934522204299
presidential,known,1996 Clinton,Japan,-4.752514186284527,-0.44150182091166934,0.8810629682154906,-18.40930364423367,-14.753544070853907
presidential,known,1996 Clinton,Europe,4.780066302456959,2.694143624092348,1.9637226980688414,3.2403877983270797,8.025900789610304
presidential,known,1996 Clinton,VIX,16.41,16.09,-0.4399999999999977,0.490000000000002,
presidential,vote,2000 Bush,SPX,-4.084131252100157,3.182370396365631,-5.779581823641932,-5.568913607957377,-12.199000837298877
presidential,vote,2000 Bush,Korea,-27.59611071536241,-3.7426405519116814,-13.5955636236029,-4.152848565557389,-3.1683093513540004
presidential,vote,2000 Bush,Japan,-5.582844955294189,-1.4252022707201413,-9.006082391818113,-18.742547575681616,-12.479321860354275
presidential,vote,2000 Bush,Europe,-14.296259492353855,4.699404676340824,-2.9883960689261384,-0.011813776778002882,-9.22428040917426
presidential,vote,2000 Bush,VIX,17.88,24.86,1.1400000000000006,0.5500000000000007,
presidential,known,2000 Bush,SPX,-7.089061734781141,-1.6741523832809722,-3.0944654594296632,-12.710765799165943,-6.299511704376043
presidential,known,2000 Bush,US,-7.491317148404939,-2.140336713454279,-2.7296690709364153,-12.588944171895028,-5.799972327001286
presidential,known,2000 Bush,Taiwan,-22.73898421956608,-14.805309995913976,1.5831465216680662,0.4246307045422489,-8.708870691828093
presidential,known,2000 Bush,Korea,-7.283732395226631,-5.617027146705449,3.0636969461889803,-9.01678389370505,4.976321748851494
presidential,known,2000 Bush,Japan,-12.825433552367885,-6.6181906881301185,-12.306009275722724,-19.001425863129427,-9.952959534703306
presidential,known,2000 Bush,Europe,0.7809506239549724,-2.0082093590651593,2.5494120281015054,-7.233028923482858,-8.895573052251134
presidential,known,2000 Bush,US_smallcap,-11.884386599511334,-4.281096543180713,3.701384774748124,-1.1156386699187961,9.747428552481871
presidential,known,2000 Bush,VIX,19.54,26.81,-0.019999999999999574,-0.3200000000000003,
presidential,vote,2004 Bush,SPX,5.953181392083092,-0.34612419390823485,5.2390764321134675,3.5452317394865815,1.8638806771375895
presidential,vote,2004 Bush,US,5.938744931154725,-0.29885226243527474,5.163658172228546,3.1539604766669553,1.3465281091693717
presidential,vote,2004 Bush,EM,14.823244283282952,0.930969600721747,9.274923117562057,10.095764161631966,11.662875063266496
presidential,vote,2004 Bush,Taiwan,9.716374665154218,-4.082197685961985,4.7024894025235975,5.406717014738309,4.348507060633644
presidential,vote,2004 Bush,Korea,14.589333031587346,0.6965984210044154,10.149653802904187,15.904198454404037,19.617295348551647
presidential,vote,2004 Bush,Japan,4.908965988015424,0.9022632551927037,4.201881881696487,5.532703268027715,0.9930511209213517
presidential,vote,2004 Bush,Europe,10.962960302270758,2.910375280694591,7.977787361641755,5.503384117310799,5.7556201935785465
presidential,vote,2004 Bush,Bonds,1.6341725066854444,0.8191336514819171,-1.907167060105941,1.0315452957164128,0.44697044393939045
presidential,vote,2004 Bush,US_smallcap,12.057303471689156,-0.5300928299022286,9.332087347783654,5.137902901622021,0.11138008541065171
presidential,vote,2004 Bush,VIX,18.89,13.95,-2.2300000000000004,-3.299999999999999,
presidential,known,2004 Bush,SPX,5.775951176932007,0.10063690544139421,4.0399237763919835,3.2758842511802784,1.1463135257652541
presidential,known,2004 Bush,US,6.115206887524798,0.322344441741395,4.056800038305457,2.846800891410222,0.5205168963507365
presidential,known,2004 Bush,EM,15.149483577426686,1.2289755704072938,7.680821419201915,9.957767677467748,9.308183235194846
presidential,known,2004 Bush,Taiwan,11.2541925274167,-0.8904727373611656,2.473621959176554,5.2276660531925865,-0.17905517431194656
presidential,known,2004 Bush,Korea,13.815031971429798,-1.16960195626851,8.542885988443054,16.155068234939936,16.090473431691347
presidential,known,2004 Bush,Japan,4.869120883502316,0.795232027477797,3.788693897266246,4.737471240549923,0.7889579483857965
presidential,known,2004 Bush,Europe,11.029648487775559,3.786164895193265,6.600430570060212,4.76397056125313,4.159987873683835
presidential,known,2004 Bush,Bonds,2.055308893248345,1.2181143081782335,-2.130127377870496,1.0209973182329384,0.7274333206283966
presidential,known,2004 Bush,US_smallcap,12.101530654771892,0.4227263694058796,7.592621992110876,4.704907885332175,-1.5302478370047634
presidential,known,2004 Bush,VIX,17.47,13.28,-2.209999999999999,-3.1999999999999993,
presidential,vote,2008 Obama,SPX,-26.071464844791127,0.951067581445433,-14.414539721761924,-19.75722303758549,-14.082040257455494
presidential,vote,2008 Obama,US,-26.263174291594115,0.24869447904220904,-13.806942253131501,-19.618774172887957,-13.886818672241125
presidential,vote,2008 Obama,EM,-39.27789057488151,4.842656478564841,-21.274329728857857,-20.423258362557036,3.255518582264917
presidential,vote,2008 Obama,China,-45.52873423538126,-4.210012301216856,0.14690019608220847,-8.510878346050701,16.090057310360546
presidential,vote,2008 Obama,Taiwan,-39.29088760767917,-0.6396553282288238,-22.314358956317886,-32.583387921505754,4.802593225215808
presidential,vote,2008 Obama,Korea,-47.68795602116375,-1.9498799431633584,-28.274481976068,-16.073570473669626,7.011124837826882
presidential,vote,2008 Obama,Japan,-20.20010545453161,3.729791654714564,-10.002849411302861,-12.579096274134544,-11.04875317819771
presidential,vote,2008 Obama,Europe,-35.401276645637374,-1.963987698725936,-19.026365243644175,-26.785596025066997,-17.02061360891901
presidential,vote,2008 Obama,Bonds,0.17187096245070718,-2.6423580907885014,9.086677094028216,8.03121138524446,5.139493059277274
presidential,vote,2008 Obama,Gold,-7.215150893789726,-13.979064893282986,0.7112767179208555,16.038175950525474,15.632000299739076
presidential,vote,2008 Obama,Cash,0.20889463832576327,-0.12693753493959253,0.22656224040307865,0.08161823188203296,0.08161823188203296
presidential,vote,2008 Obama,Credit,-23.544723448697894,-7.049570842221938,-11.349369534078612,0.27473173836743997,4.017258621401092
presidential,vote,2008 Obama,US_smallcap,-31.865416036978043,-2.4674703157021978,-17.784955397855924,-19.39985509505927,-10.589126191569703
presidential,vote,2008 Obama,VIX,20.12,53.68,0.8800000000000026,7.039999999999999,
presidential,known,2008 Obama,SPX,-30.27060389768273,-3.320717619119217,-11.977663806029753,-12.774703300174497,-8.76556628641357
presidential,known,2008 Obama,US,-30.09465422576617,-2.5948703350500493,-11.94143566981554,-13.290567836778813,-8.908090446600527
presidential,known,2008 Obama,EM,-52.05283841159234,-8.770560953893158,-12.028613360732642,-3.865420037314448,17.779745220844017
presidential,known,2008 Obama,China,-51.94696797987114,-13.06367615350058,4.753373069823365,3.5077373135771186,26.033380807849337
presidential,known,2008 Obama,Taiwan,-47.77766352847633,-9.004957535524241,-15.650911300113643,-19.15512396670049,18.54576375393572
presidential,known,2008 Obama,Korea,-53.562027173848946,-2.479463499733799,-26.561223221391838,-3.5851229816022387,17.661027776412254
presidential,known,2008 Obama,Japan,-21.62824877654305,5.377047039025061,-11.898559444697208,-8.584650005012161,-9.520328432880332
presidential,known,2008 Obama,Europe,-41.57705665748768,-6.655483353556648,-14.431240984333366,-15.237291281989878,-8.748085072232541
presidential,known,2008 Obama,Bonds,0.5625119972301013,0.015740222656286385,8.984136845776339,5.720359949498654,4.040376961849535
presidential,known,2008 Obama,Gold,-9.953535313039717,-20.656860259552374,3.4467606153113195,19.254312784135255,17.934910436621934
presidential,known,2008 Obama,Cash,0.20884977174947528,-0.18126212807803838,0.23557330704570617,0.03627871991202455,0.05441660399010022
presidential,known,2008 Obama,Credit,-24.76399679671576,-3.6095189143261575,-11.10788218998763,1.281627578939267,5.622560903479818
presidential,known,2008 Obama,US_smallcap,-36.491764110077256,-5.413861222034678,-15.777548567140812,-13.311612231162853,-6.135176470387638
presidential,known,2008 Obama,VIX,21.17,57.53,15.950000000000003,15.910000000000004,
presidential,vote,2012 Obama,SPX,1.8077672037255872,-2.2525309868088286,-1.3468989668148676,4.605303824839625,10.258427237718562
presidential,vote,2012 Obama,US,1.62273774594924,-2.1984983440605856,-1.0155194521694648,4.669421015662422,10.312829280088554
presidential,vote,2012 Obama,EM,3.8470937736604185,0.4281650243675675,0.49721679668231245,4.160965416682687,1.624517469082484
presidential,vote,2012 Obama,China,8.622352924707494,7.413557857298525,0.16443820521493915,5.83701763329173,-1.9414366033050707
presidential,vote,2012 Obama,Taiwan,1.9585427705588556,-4.623784185847394,5.582141051878377,4.029429364271875,7.399711973777147
presidential,vote,2012 Obama,Korea,1.8695342252769573,-1.701670484285864,1.851908642177413,-0.06798759548292627,-1.7311227289399271
presidential,vote,2012 Obama,Japan,-1.3100611087858245,-0.7662839145770322,2.1739965225781455,8.929807655861461,24.014105938655927
presidential,vote,2012 Obama,AsiaExJapan,5.869875315022311,0.7653518459753743,1.7860700165669083,3.808044134118659,3.4571388025560883
presidential,vote,2012 Obama,India,9.411329457607073,-6.4164195771084485,3.83759483112703,6.715492065652784,4.564865507349183
presidential,vote,2012 Obama,Europe,7.62645817225086,-0.56184750987774,2.571727028136689,6.8902609068438165,8.35548572189616
presidential,vote,2012 Obama,Bonds,-0.9608200182253978,0.06233899401052665,1.4267873748886954,-2.14754803341178,1.0088750678395255
presidential,vote,2012 Obama,Gold,5.79336661550135,-3.7607215044453253,-1.2654642416236652,-2.60858157413157,-16.357622248216007
presidential,vote,2012 Obama,Cash,-0.0,-0.00907593704222052,0.00907593704222052,0.01815105043284043,0.027225340321385193
presidential,vote,2012 Obama,Credit,0.9460221101436536,-0.06491134967251992,0.8406114502292426,0.7439732627468763,2.9852914579560275
presidential,vote,2012 Obama,US_smallcap,2.6333495045672617,-2.1268501364635704,-0.4259709312980102,8.092051309395304,10.897316363114747
presidential,vote,2012 Obama,VIX,15.28,14.33,0.6599999999999966,-1.9600000000000009,
