admin,party,ann_return_pct,ann_vol_pct,share_big_days_pct,vix_mean,vix_p90,worst_day_pct,best_day_pct,days
Bush41,R,11.338960466521028,13.442507788655783,19.48979591836735,18.874805890227577,26.803999999999995,-6.312329817609092,3.6642058424536024,980
Clinton,D,13.699771447267414,15.61536257016251,22.437531871494134,18.96307967313585,27.123,-7.112747282045266,4.988691536939769,1961
Bush43,R,-6.547368843862299,21.624723112947713,30.296930045294413,20.93365374937091,31.924000000000003,-9.4695124884235,10.957196759533847,1987
Obama,D,12.283628968621178,17.3036736186762,26.302729528535977,19.433503722084367,30.00200000000001,-6.895836939262512,6.836638735773641,2015
Trump1,R,13.302131019407467,20.651540437235745,21.847070506454816,18.25224428997021,28.602,-12.765219747281742,8.968323251796326,1007
Biden,D,11.847517732433591,16.52099243731121,29.08366533864542,19.368545816733068,27.381,-4.4199163031974065,5.395251566479769,1004
Trump2,R,12.040608857165473,17.37121466914272,21.902017291066283,19.203959537572253,24.9,-6.160906189823093,9.089487983303645,347
