date,SOXL_growth,SOXS_growth,SOXX_growth
2024-03-11,1.0,1.0,1.0
2024-03-12,1.0600812486636733,0.9365558912386707,1.020746334962239
2024-03-13,0.9852469531751121,1.0060422960725075,0.9958685028876055
2024-03-14,0.9307248236048749,1.0604229607250755,0.9788538427365616
2024-03-15,0.9138336540517425,1.0845921450151057,0.9718347401155042
2024-03-18,0.9095574085952532,1.0845921450151057,0.9710795202132386
2024-03-19,0.8856104340389138,1.1027190332326284,0.9629498000888493
2024-03-20,0.9279452640581568,1.0453172205438066,0.9793425144380276
2024-03-21,0.9901646354500748,0.9788519637462235,1.0003553976010662
2024-03-22,0.9927303827239683,0.972809667673716,1.0015548645046646
2024-03-25,0.9811845199914474,0.9848942598187311,0.9976454908929364
2024-03-26,0.9627966645285438,1.0090634441087614,0.9901377165704132
2024-03-27,0.9942270686337396,0.972809667673716,1.00257663260773
2024-03-28,0.994868505452213,0.9697885196374623,1.0036428254109284
2024-04-01,1.026085097284584,0.9395770392749244,1.0142159040426477
2024-04-02,0.980970707718623,0.9818731117824774,0.9985784095957353
2024-04-03,0.9875988881761812,0.9758308157099698,1.0013771657041315
2024-04-04,0.9059225999572375,1.0634441087613293,0.9730342070191027
2024-04-05,0.9326491340602949,1.0241691842900302,0.9845846290537539
2024-04-08,0.9407740004276245,1.0181268882175227,0.9871168369613504
2024-04-09,0.9704939063502245,0.9879154078549849,0.9977343402932031
2024-04-10,0.9213170836005987,1.0362537764350452,0.9795202132385608
2024-04-11,0.9792602095360272,0.9697885196374623,1.0016437139049312
2024-04-12,0.8875347444943339,1.0634441087613293,0.9687694358063083
2024-04-15,0.8505452212957023,1.1063444108761329,0.9565082185695247
2024-04-16,0.8667949540303612,1.0833836858006043,0.9637494446912483
2024-04-17,0.7923882830874492,1.1827794561933536,0.934517992003554
2024-04-18,0.7464186444301901,1.2468277945619335,0.9179475788538427
2024-04-19,0.6583279880265127,1.3936555891238671,0.8813416259440249
2024-04-22,0.6856959589480436,1.3283987915407856,0.8958685028876056
2024-04-23,0.7293136626042335,1.2441087613293051,0.9145713016437139
2024-04-24,0.758819756254009,1.196676737160121,0.926432696579298
2024-04-25,0.7998717126363052,1.131117824773414,0.9436250555308752
2024-04-26,0.8509728458413511,1.0604229607250755,0.9635717458907153
2024-04-29,0.8682916399401325,1.0389728096676736,0.9709018214127055
2024-04-30,0.8163352576437887,1.104833836858006,0.9506441581519325
2024-05-01,0.7348727816976693,1.2154078549848943,0.9185250999555753
2024-05-02,0.7793457344451572,1.13595166163142,0.9391825855175477
2024-05-03,0.833226427196921,1.0610271903323263,0.9603287427809862
2024-05-06,0.8830446867650202,0.9972809667673717,0.9802754331408263
2024-05-07,0.862946333119521,1.020845921450151,0.9716126166148379
2024-05-08,0.8640153944836433,1.0190332326283988,0.9725455353176365
2024-05-09,0.8543938422065426,1.0311178247734138,0.9689027099067081
2024-05-10,0.8772717553987599,1.0018126888217522,0.9784095957352289
2024-05-13,0.882403249946547,0.9969788519637462,0.9804531319413594
2024-05-14,0.9238828308744922,0.9477341389728097,0.9967569968902711
