nav_cagr,terminal_multiple,year_10_nav_per_share,year_10_price,total_return,annualized_return
0.05,1.0,11.9072197217431,11.9072197217431,-0.6823894446054122,-0.10836010362619497
0.05,1.25,11.9072197217431,14.884024652178876,-0.6029868057567651,-0.08824008658355476
0.05,1.5,11.9072197217431,17.86082958261465,-0.5235841669081183,-0.07146427298082736
0.05,2.0,11.9072197217431,23.8144394434862,-0.36477888921082424,-0.044364020927945336
0.05,3.0,11.9072197217431,35.7216591652293,-0.04716833381623642,-0.004820048764007101
0.05,3.5,11.9072197217431,41.67526902610085,0.1116369438810576,0.01063956722454984
0.05,5.0,11.9072197217431,59.536098608715506,0.5880527769729396,0.04733711269370966
0.1,1.0,18.960257383331015,18.960257383331015,-0.494258271983702,-0.06590106094172798
0.1,1.25,18.960257383331015,23.70032172916377,-0.3678228399796275,-0.0448229478494383
0.1,1.5,18.960257383331015,28.440386074996525,-0.24138740797555291,-0.027248285979914355
0.1,2.0,18.960257383331015,37.92051476666203,0.01148345603259604,0.0011424542659621562
0.1,3.0,18.960257383331015,56.88077214999305,0.5172251840488942,0.04256947272342115
0.1,3.5,18.960257383331015,66.36090084165855,0.7700960480570431,0.05876526090190959
0.1,5.0,18.960257383331015,94.80128691665507,1.52870864008149,0.09721030853626744
0.15,1.0,29.573027048024795,29.573027048024795,-0.211175592210595,-0.02344201825726122
0.15,1.25,29.573027048024795,36.966283810030994,-0.013969490263243789,-0.0014058091153220653
0.15,1.5,29.573027048024795,44.35954057203719,0.18323661168410754,0.016967701020998538
0.15,2.0,29.573027048024795,59.14605409604959,0.57764881557881,0.046648929459869315
0.15,3.0,29.573027048024795,88.71908114407438,1.366473223368215,0.08995899421084919
0.15,3.5,29.573027048024795,103.50559466808679,1.7608854272629175,0.1068909545792689
0.15,5.0,29.573027048024795,147.86513524012398,2.944122038947025,0.14708350437882478
0.2,1.0,45.26159324774398,45.26159324774398,0.20729776601077554,0.019017024427205653
0.2,1.25,45.26159324774398,56.576991559679975,0.5091222075134696,0.0420113296187945
0.2,1.5,45.26159324774398,67.89238987161598,0.8109466490161636,0.06118368802191143
0.2,2.0,45.26159324774398,90.52318649548796,1.414595532021551,0.0921554046537767
0.2,3.0,45.26159324774398,135.78477974323195,2.6218932980323273,0.13734851569827766
0.2,3.5,45.26159324774398,158.41557636710394,3.2255421810377145,0.15501664825662842
0.2,5.0,45.26159324774398,226.3079662387199,5.036488830053878,0.19695670022138234
0.25,1.0,68.07968020439148,68.07968020439148,0.815942390087796,0.06147606711167275
0.25,1.25,68.07968020439148,85.09960025548935,1.2699279876097451,0.08542846835291096
0.25,1.5,68.07968020439148,102.11952030658722,1.7239135851316942,0.10539967502282455
0.25,2.0,68.07968020439148,136.15936040878296,2.631884780175592,0.13766187984768408
0.25,3.0,68.07968020439148,204.23904061317444,4.4478271702633885,0.18473803718570592
0.25,3.5,68.07968020439148,238.27888071537018,5.355798365307287,0.20314234193398795
0.25,5.0,68.07968020439148,340.3984010219574,8.07971195043898,0.24682989606394012
0.3,1.0,100.77455754161903,100.77455754161903,1.6880383446684188,0.10393510979613962
0.3,1.25,100.77455754161903,125.9681969270238,2.360047930835524,0.12884560708702741
0.3,1.5,100.77455754161903,151.16183631242853,3.0320575170026283,0.14961566202373744
0.3,2.0,100.77455754161903,201.54911508323806,4.376076689336838,0.18316835504159146
0.3,3.0,100.77455754161903,302.32367262485707,7.0641150340052565,0.23212755867313417
0.3,3.5,100.77455754161903,352.7109513956666,8.408134206339467,0.2512680356113475
0.3,5.0,100.77455754161903,503.8727877080952,12.440191723342096,0.2967030919064977
0.35,1.0,146.97892339959816,146.97892339959816,2.9204834195678355,0.1463941524806065
0.35,1.25,146.97892339959816,183.7236542494977,3.900604274459795,0.17226274582114387
0.35,1.5,146.97892339959816,220.46838509939724,4.880725129351753,0.19383164902465055
0.35,2.0,146.97892339959816,293.9578467991963,6.840966839135671,0.22867483023549884
0.35,3.0,146.97892339959816,440.9367701987945,10.761450258703507,0.2795170801605624
0.35,3.5,146.97892339959816,514.4262318985935,12.721691968487423,0.299393729288707
0.35,5.0,146.97892339959816,734.8946169979909,18.60241709783918,0.34657628774905547
0.4,1.0,211.44515278745584,211.44515278745584,4.640041418710478,0.18885319516507337
0.4,1.25,211.44515278745584,264.3064409843198,6.050051773388098,0.2156798845552601
0.4,1.5,211.44515278745584,317.16772918118374,7.460062128065717,0.23804763602556345
0.4,2.0,211.44515278745584,422.8903055749117,10.280082837420956,0.274181305429406
0.4,3.0,211.44515278745584,634.3354583623675,15.920124256131434,0.32690660164799046
0.4,3.5,211.44515278745584,740.0580347560955,18.740144965486675,0.3475194229660665
0.4,5.0,211.44515278745584,1057.2257639372792,27.200207093552393,0.3964494835916128
