date,bot_close,price_nav_multiple,premium_to_nav,data_source
2026-05-11,39,5.335157318741451,4.335157318741451,massive_rest_api
2026-05-12,25.4,3.47469220246238,2.47469220246238,massive_rest_api
2026-05-13,21.01,2.874145006839945,1.874145006839945,massive_rest_api
2026-05-14,27.1,3.707250341997264,2.707250341997264,massive_rest_api
2026-05-15,36.01,4.926128590971272,3.926128590971272,massive_rest_api
2026-05-18,28.36,3.879616963064296,2.879616963064296,massive_rest_api
2026-05-19,24.21,3.311901504787962,2.311901504787962,massive_rest_api
2026-05-20,28.24,3.863201094391245,2.863201094391245,massive_rest_api
2026-05-21,31.29,4.280437756497948,3.280437756497948,massive_rest_api
2026-05-22,24.38,3.33515731874145,2.33515731874145,massive_rest_api
2026-05-26,25.88,3.540355677154583,2.540355677154583,massive_rest_api
2026-05-27,28.68,3.923392612859097,2.923392612859097,massive_rest_api
2026-05-28,28.98,3.964432284541724,2.964432284541724,massive_rest_api
2026-05-29,24.88,3.403556771545828,2.403556771545828,massive_rest_api
2026-06-01,22.86,3.127222982216142,2.127222982216142,massive_rest_api
2026-06-02,25.325,3.464432284541724,2.464432284541724,massive_rest_api
2026-06-03,28.97,3.963064295485636,2.963064295485636,massive_rest_api
2026-06-04,33.51,4.584131326949384,3.584131326949384,massive_rest_api
2026-06-05,37.49,5.128590971272231,4.128590971272231,massive_rest_api
