scenario,month,year,nav_per_share,price_nav_multiple,premium_to_nav,modeled_price,total_return,annualized_return,description
Private Access Base,0,0.0,7.31,5.128590971272231,4.128590971272231,37.49,0.0,0.0,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,1,0.08333333333333333,7.42370775918021,5.102519379844962,4.102519379844962,37.879612711522434,0.010392443625564907,0.13209031611226174,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,2,0.16666666666666666,7.539184253585835,5.076447788417694,4.076447788417694,38.27227523058931,0.020866237145620303,0.13191299120660838,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,3,0.25,7.6564569960649,5.050376196990425,4.050376196990425,38.66798816620698,0.03142139680466727,0.13173447695641483,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,4,0.3333333333333333,7.775553927430452,5.024304605563156,4.024304605563156,39.06675140839351,0.0420579196690718,0.1315547597616593,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,5,0.4166666666666667,7.896503423117593,4.998233014135888,3.998233014135888,39.468564105663404,0.05277578302649788,0.13137382579922918,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,6,0.5,8.019334299944072,4.972161422708619,3.972161422708619,39.87342464198594,0.06357494377129735,0.1311916610181183,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,7,0.5833333333333334,8.144075822976033,4.94608983128135,3.94608983128135,40.28133061320605,0.07445533777556812,0.1310082511345052,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,8,0.6666666666666666,8.270757712500565,4.920018239854082,3.920018239854082,40.692278802916604,0.08541687924557495,0.13082358162668273,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,9,0.75,8.399410151106704,4.893946648426813,3.8939466484268133,41.10626515777081,0.09645946006323824,0.13063763772986103,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,10,0.8333333333333334,8.530063790876588,4.867875056999544,3.8678750569995444,41.52328476222312,0.10758294911237987,0.1304504044308301,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,11,0.9166666666666666,8.662749760688465,4.841803465572276,3.8418034655722764,41.943331812686814,0.11878719158940543,0.13026186646246884,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,12,1.0,8.797499673633306,4.8157318741450075,3.8157318741450075,42.36639959109621,0.13007200829811172,0.13007200829811172,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,13,1.0833333333333333,8.934345634546776,4.789660282717739,3.7896602827177386,42.79248043786131,0.14143719492828244,0.12988081414575348,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,14,1.1666666666666667,9.073320247658378,4.763588691290471,3.7635886912904706,43.2215657242023,0.15288252131774605,0.12968826794209742,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,15,1.25,9.214456624359563,4.737517099863202,3.7375170998632017,43.653645823851186,0.16440773069755088,0.129494353346435,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,16,1.3333333333333333,9.357788391092692,4.711445508435933,3.711445508435933,44.088710084107575,0.17601253891991386,0.1292990537343548,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,17,1.4166666666666667,9.503349697362696,4.685373917008665,3.685373917008665,44.526746796235365,0.1876966336685879,0.12910235219127464,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,18,1.5,9.651175223873372,4.659302325581396,3.659302325581396,44.96774316518675,0.1994596736512868,0.12890423150578756,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,19,1.5833333333333333,9.801300190790226,4.633230734154127,3.633230734154127,45.411685278639986,0.21130128777380586,0.12870467416282216,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,20,1.6666666666666667,9.953760366131856,4.607159142726859,3.607159142726859,45.85855807533663,0.22322107429545546,0.12850366233660315,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,21,1.75,10.108592074291861,4.58108755129959,3.58108755129959,46.30834531270415,0.2352185999654346,0.1283011778834109,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,22,1.8333333333333333,10.265832204693305,4.555015959872321,3.555015959872321,46.761029533749266,0.247293399139751,0.12809720233413047,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,23,1.9166666666666667,10.425518220577807,4.528944368445053,3.528944368445053,47.21659203320715,0.2594449728782915,0.1278917168865834,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,24,2.0,10.587688167931343,4.502872777017784,3.5028727770177843,47.67501282293134,0.27167278802164163,0.12768470239763463,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,25,2.0833333333333335,10.752380684548895,4.476801185590515,3.4768011855905154,48.13627059650905,0.2839762762472404,0.12747613937506674,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,26,2.1666666666666665,10.91963500924009,4.450729594163247,3.4507295941632474,48.60034269308593,0.29635483310445254,0.1272660079692134,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,27,2.25,11.089490991178046,4.4246580027359785,3.4246580027359785,49.06720506038448,0.308807817028127,0.12705428796434215,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,28,2.3333333333333335,11.261989099393638,4.39858641130871,3.3985864113087096,49.53683221689967,0.3213345483302126,0.12684095876977985,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,29,2.4166666666666665,11.437170432417442,4.372514819881442,3.3725148198814416,50.009197213255106,0.3339343081689812,0.12662599941077102,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,30,2.5,11.615076728071662,4.346443228454173,3.3464432284541727,50.484271592702726,0.3466063374954047,0.1264093885190547,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,31,2.5833333333333335,11.795750373414375,4.320371637026904,3.320371637026904,50.96202535074897,0.3593498359762328,0.1261911043231594,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,32,2.6666666666666665,11.979234414838462,4.294300045599636,3.294300045599636,51.44242689388953,0.3721639608932923,0.12597112463839522,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,33,2.75,12.165572568327619,4.268228454172367,3.268228454172367,51.92544299743474,0.38504782601853127,0.12574942685653845,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,34,2.8333333333333335,12.35480922987191,4.242156862745099,3.242156862745099,52.411038762407614,0.3980005004643268,0.12552598793519643,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,35,2.9166666666666665,12.546989486045332,4.21608527131783,3.21608527131783,52.89917757149539,0.4110210075085461,0.12530078438683767,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,36,3.0,12.742159124747914,4.190013679890561,3.190013679890561,53.3898210440361,0.4241083233938676,0.1250737922674785,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,37,3.0833333333333335,12.940364646114912,4.163942088463293,3.163942088463293,53.88292899002029,0.4372613761008346,0.12484498716501147,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,38,3.1666666666666665,13.141653273595697,4.137870497036024,3.1378704970360243,54.378459363088524,0.4504790440941191,0.12461434418716055,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,39,3.25,13.346072965204977,4.111798905608755,3.1117989056087554,54.87636821250442,0.46376015504146206,0.12438183794905155,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,40,3.3333333333333335,13.553672424949031,4.085727314181487,3.0857273141814874,55.37660963408269,0.4771034845047395,0.12414744256038213,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,41,3.4166666666666665,13.764501114429683,4.0596557227542185,3.0596557227542185,55.87913572005128,0.49050775460259466,0.12391113161217326,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,42,3.5,13.978609264628767,4.0335841313269505,3.0335841313269505,56.38389650782649,0.5039716326440782,0.12367287816309092,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,43,3.5833333333333335,14.196047887875917,4.007512539899682,3.0075125398996816,56.890839927679124,0.5174937297327054,0.12343265472531506,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,44,3.6666666666666665,14.4168687900025,3.9814409484724127,2.9814409484724127,57.399911749269876,0.531072599340354,0.12319043324994405,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,45,3.75,14.641124582684618,3.9553693570451443,2.9553693570451443,57.91105552703112,0.5447067358503899,0.12294618511191158,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,46,3.8333333333333335,14.868868695978101,3.929297765617876,2.929297765617876,58.42421254437233,0.558394573069414,0.12269988109439822,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,47,3.9166666666666665,15.100155391048476,3.903226174190607,2.903226174190607,58.939321756685814,0.5721344827070101,0.12245149137271771,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,48,4.0,15.335039773098968,3.877154582763338,2.877154582763338,59.45631973312872,0.585924772822852,0.12220098549765579,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,49,4.083333333333333,15.573577804499582,3.85108299133607,2.85108299133607,59.97514059715728,0.5997636862405249,0.12194833237824021,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,50,4.166666666666667,15.815826318120417,3.825011399908801,2.825011399908801,60.495715965788236,0.6136493989274001,0.1216935002639179,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,51,4.25,16.06184303087238,3.7989398084815327,2.7989398084815327,61.017974887562765,0.6275800183398976,0.12143645672611347,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,52,4.333333333333333,16.311686557458533,3.7728682170542642,2.7728682170542642,61.541843779186586,0.6415535817334377,0.12117716863914718,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,53,4.416666666666667,16.565416424339322,3.7467966256269953,2.7467966256269953,62.067246360820576,0.6555680544363982,0.12091560216048092,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,54,4.5,16.823093083915065,3.720725034199727,2.720725034199727,62.59410358999507,0.6696213280873584,0.12065172271026747,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,55,4.583333333333333,17.08477792892903,3.6946534427724584,2.6946534427724584,63.12233359412055,0.6837112188349039,0.12038549495016992,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,56,4.666666666666667,17.350533307094558,3.6685818513451895,2.6685818513451895,63.65185160156733,0.6978354654992618,0.12011688276142474,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,57,4.75,17.620422535949732,3.642510259917921,2.642510259917921,64.18256987128585,0.7119917276950078,0.11984584922211083,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,58,4.833333333333333,17.894509917943072,3.6164386684906527,2.6164386684906527,64.71439762093883,0.7261775839140789,0.11957235658359355,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,59,4.916666666666667,18.172860755753927,3.5903670770633838,2.5903670770633838,65.2472409535161,0.740390529568314,0.1192963662461064,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,60,5.0,18.455541367851158,3.5642954856361153,2.5642954856361153,65.78100278240245,0.7546279749907294,0.11901783873343263,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,61,5.083333333333333,18.742619104293844,3.538223894208847,2.538223894208847,66.31558275486769,0.7688872433947103,0.11873673366664605,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,62,5.166666666666667,19.034162362777764,3.512152302781578,2.512152302781578,66.85087717394836,0.7831655687903003,0.11845300973687034,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,63,5.25,19.330240604931493,3.4860807113543095,2.4860807113543095,67.38677891868954,0.7974600938567495,0.118166624677013,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,64,5.333333333333333,19.630924372865977,3.460009119927041,2.460009119927041,67.92317736271431,0.8117678677704536,0.11787753523242372,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,65,5.416666666666667,19.93628530598154,3.433937528499772,2.433937528499772,68.45995829108857,0.826085843987425,0.11758569713043432,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,66,5.5,20.24639615803633,3.4078659370725037,2.4078659370725037,68.99700381544761,0.8404108779793975,0.11729106504872289,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,67,5.583333333333333,20.56133081448026,3.3817943456452353,2.3817943456452353,69.53419228735049,0.8547397249226591,0.11699359258245079,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,68,5.666666666666667,20.881164310058587,3.3557227542179664,2.3557227542179664,70.0713982098277,0.8690690373386958,0.11669323221011418,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,69,5.75,21.205972846689303,3.3296511627906984,2.3296511627906984,70.60849214708702,0.8833953626857032,0.11638993525805152,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,70,5.833333333333333,21.535833811618634,3.3035795713634295,2.3035795713634295,71.14534063234115,0.8977151409000037,0.11608365186353864,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,71,5.916666666666667,21.87082579585893,3.2775079799361606,2.2775079799361606,71.68180607372128,0.9120247018864036,0.11577433093640876,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,72,6.0,22.211028612913356,3.2514363885088926,2.2514363885088926,72.21774665823868,0.9263202629564864,0.1154619201191247,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,73,6.083333333333333,22.556523317791868,3.2253647970816237,2.2253647970816237,72.75301625375668,0.9405979262138351,0.11514636574522585,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,74,6.166666666666667,22.90739222632296,3.199293205654355,2.199293205654355,73.28746430893443,0.954853675885154,0.11482761279607456,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,75,6.25,23.263718934765823,3.1732216142270864,2.1732216142270864,73.82093575110284,0.9690833755962345,0.11450560485581374,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,76,6.333333333333333,23.62558833972758,3.147150022799818,2.147150022799818,74.35327088203277,0.9832827655916982,0.11418028406444991,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,77,6.416666666666667,23.993086658390308,3.121078431372549,2.121078431372549,74.88430527155445,0.9974474598974246,0.11385159106896592,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,78,6.5,24.36630144905271,3.0950068399452806,2.0950068399452806,75.41386964898673,1.0115729434245595,0.11351946497236365,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,79,6.583333333333333,24.745321631991327,3.068935248518012,2.068935248518012,75.94178979233345,1.0256545690139625,0.11318384328053255,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,80,6.666666666666667,25.130237510646225,3.0428636570907437,2.0428636570907437,76.46788641520396,1.039687554419951,0.11284466184682995,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,81,6.75,25.521140793136244,3.016792065663475,2.016792065663475,76.99197505141386,1.053666979232165,0.11250185481425712,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,82,6.833333333333333,25.91812461410891,2.9907204742362063,1.9907204742362063,77.51386593722088,1.0675877817343529,0.11215535455510173,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,83,6.916666666666667,26.32128355693022,2.964648882808938,1.964648882808938,78.03336389115044,1.0814447556988647,0.11180509160791763,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,84,7.0,26.730713676219608,2.9385772913816695,1.9385772913816695,78.55026819136437,1.095232547115614,0.11145099461169505,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,85,7.083333333333333,27.14651252073544,2.9125056999544006,1.9125056999544006,79.06437245052547,1.1089456508542401,0.11109299023707497,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,86,7.166666666666667,27.568779156616472,2.886434108527132,1.8864341085271321,79.57546448810965,1.1225784072581928,0.11073100311444395,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,87,7.25,27.997614190984862,2.8603625170998637,1.8603625170998637,80.08332620011632,1.1361249986694135,0.11036495575874183,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,88,7.333333333333333,28.43311979591632,2.8342909256725948,1.8342909256725948,80.58773342612744,1.1495794458823,0.10999476849079759,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,89,7.416666666666667,28.875399732783094,2.8082193342453263,1.8082193342453263,81.08845581366381,1.162935604525575,0.10962035935500403,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,90,7.5,29.324559376975653,2.782147742818058,1.7821477428180579,81.58525667978692,1.1761871613706831,0.10924164403312187,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,91,7.583333333333333,29.780705743008884,2.756076151390789,1.756076151390789,82.07789286989349,1.1893276305653102,0.1088585357539964,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,92,7.666666666666667,30.243947510018838,2.7300045599635205,1.7300045599635205,82.5661146136488,1.2023503497905783,0.1084709451989514,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,93,7.75,30.714395047656065,2.7039329685362516,1.7039329685362516,83.04966537800381,1.215248476340459,0.10807878040261132,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,94,7.833333333333333,31.192160442381745,2.677861377108983,1.6778613771089832,83.52828171724073,1.2280149831219185,0.10768194664888409,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,95,7.916666666666667,31.677357524172827,2.6517897856817148,1.6517897856817148,84.00169311998931,1.240642654574268,0.10728034636182016,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,96,8.0,32.1701018936426,2.625718194254446,1.6257181942544459,84.46962185315678,1.2531240825061825,0.10687387899104306,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,97,8.083333333333334,32.67051094958311,2.5996466028271774,1.5996466028271774,84.93178280271184,1.2654516618488088,0.10646244089142587,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
