date,mstr_close,mstr_source,btc_close,btc_source,btc_holdings,assumed_diluted_shares,basic_shares,purchase_btc,purchase_price,total_purchase_price,btc_yield_ytd,title,btc_per_diluted_share,btc_nav_per_share,simplified_mnav,equity_value,btc_reserve_value,mstr_price_factor,btc_price_factor,btc_per_share_factor,mnav_factor,factor_check,decomp_residual,mstr_price_return,btc_price_return,btc_per_share_return,mnav_return
2025-01-31,334.79,local_duckdb:massive_rest,100623.85,massive_rest_api,471107.0,288254000.0,,10107.0,105596.0,1100000000.0,2.9,January 2025 4,0.0016343467913714988,164.454266382947,2.035763543041264,96504556660.0,47404600101.950005,0.8831412065736369,1.0379801402859732,1.0290135501084972,0.8268372068141706,0.8831412065736371,0.9999999999999998,0.0,0.0,0.0,0.0
2025-02-28,255.43,local_duckdb:massive_rest,86018.76,massive_rest_api,499096.0,294063000.0,,20356.0,97514.0,1985000000.0,6.9,February 2025 2,0.0016972417475166887,145.99463054161862,1.7495848926251072,75112512090.0,42931619040.96,0.6737977788915561,0.8873220868812458,1.0686133232096326,0.7106040829974191,0.6737977788915563,0.9999999999999997,-0.23704411720780194,-0.14514541035748496,0.03848323775421636,-0.1405755847207233
2025-03-31,288.27,local_duckdb:massive_rest,85170.37,massive_rest_api,528185.0,299674000.0,,22048.0,86969.0,1918000000.0,11.0,March 2025 3,0.001762531951387174,150.11549843646762,1.9203213725596933,86387023980.0,44985711878.45,0.7604262839958849,0.8785705635473919,1.1097211865020349,0.7799496976455222,0.760426283995885,0.9999999999999999,-0.1389527763672751,-0.15357671168415843,0.07843204434482698,-0.05670706250545665
2025-04-30,380.11,local_duckdb:massive_rest,96524.98,massive_rest_api,553555.0,306417000.0,,15355.0,92737.0,1424000000.0,13.7,April 2025 3,0.0018065414125195403,174.37637371262036,2.179825121414885,116472165870.0,53431885303.9,1.002690653934422,0.9956984579848689,1.1374303190296393,0.8853486550021741,1.002690653934422,1.0,0.1353684399175603,-0.04073457733926911,0.1053599040651223,0.07076537885063239
2025-05-30,369.06,local_duckdb:massive_rest,104645.87,massive_rest_api,580250.0,312737000.0,,4020.0,106237.0,427000000.0,16.8,May 2025 4,0.0018553928700473562,194.1592010779025,1.9008112824481702,115418717220.0,60720766067.5,0.9735419029781847,1.079469080371579,1.1681880578425188,0.7720255610395562,0.973541902978185,0.9999999999999997,0.10236267510977015,0.03997084190278932,0.13525041309645291,-0.06629073452778622
2025-06-30,404.23,local_duckdb:massive_rest,105920.0,massive_rest_api,597325.0,314216000.0,261318000.0,4980.0,106801.0,532000000.0,19.7,June 2025 5,0.0019010012220892635,201.35404944369478,2.007558333774837,127015533680.0,63268664000.0,1.0663167057954577,1.0926123027402577,1.1969038802720153,0.8153814969763661,1.0663167057954581,0.9999999999999996,0.20741360255682673,0.05263314810554354,0.16315657859492338,-0.013854855276704159
2025-07-31,401.86,local_duckdb:massive_rest,113248.73,massive_rest_api,628791.0,316703000.0,283590000.0,21021.0,117256.0,2465000000.0,25.0,July 2025 3,0.001985427987736144,224.84719811757387,1.7872582063035767,127270267580.0,71209782185.43,1.060064892241948,1.1682114394610055,1.2500604601980971,0.7259053185263767,1.060064892241948,1.0,0.2003345380686401,0.12546607986078828,0.2148143822462718,-0.12206984332101789
2025-08-29,334.41,local_duckdb:massive_rest,108750.0,massive_rest_api,632457.0,317624000.0,284641000.0,3081.0,115829.0,357000000.0,25.4,August 2025 3,0.0019912128806387425,216.54440076946324,1.5443022253714076,106216641840.00002,68779698750.0,0.8821388060882641,1.121805021931675,1.2537027307456503,0.6272273333844256,0.8821388060882642,0.9999999999999999,-0.001135039875743038,0.0807576931313998,0.2183539571597113,-0.241413753257244
2025-09-30,322.21,local_duckdb:massive_rest,118659.97,massive_rest_api,640031.0,320094000.0,287093000.0,196.0,113048.0,22000000.0,25.9,September 2025 5,0.0019995095190787704,237.26173954860133,1.3580360685756399,103137487740.0,75946059259.07,0.8499564747157667,1.2240308068805692,1.2589264405606129,0.5515742501295099,0.8499564747157667,1.0,-0.03757579378117637,0.17924299259072263,0.2234303818719141,-0.332910704085581
2025-10-31,269.51,local_duckdb:massive_rest,110018.0,massive_rest_api,640808.0,320089000.0,287170000.0,390.0,111053.0,43000000.0,26.0,October 2025 3,0.0020019682025936535,220.25253771294857,1.2236408388231506,86267186390.0,70500414544.0,0.710939354770635,1.1348850106011865,1.2604744710432498,0.4969888456715401,0.7109393547706351,0.9999999999999999,-0.1949879028644823,0.09335907938326748,0.2249347648632496,-0.39892781604923955
2025-11-28,177.18,local_duckdb:massive_rest,90828.06,massive_rest_api,649870.0,320283000.0,287396000.0,8178.0,102171.31,836000000.0,27.8,November 2025 3,0.002029049309516896,184.29461242775918,0.9613954399749586,56747741940.0,59026431352.2,0.4673824157851698,0.9369321732442436,1.2775252133478059,0.3904763512196675,0.4673824157851698,1.0,-0.4707727231996177,-0.09735057841654848,0.24150475298707774,-0.5277470002539133
2025-12-31,151.95,local_duckdb:massive_rest,88731.8,massive_rest_api,672500.0,344897000.0,312062000.0,3.0,88210.02,280000.0,22.8,December 2025 5,0.0019498574936865209,173.01436515829363,0.8782507733446208,52407099149.99999,59672135500.0,0.40082829934843967,0.9153083112187311,1.2276646501078776,0.3567066611428812,0.4008282993484397,0.9999999999999999,-0.5461333970548703,-0.1181832140193404,0.1930500331880325,-0.5685890061511829
2026-01-30,149.71,local_duckdb:massive_rest,78648.0,massive_rest_api,712647.0,364173000.0,331748000.0,2932.0,90061.0,264000000.0,0.4,January 2026 4,0.0019568913675643168,153.90559227619838,0.9727391824160037,54520339830.0,56048261256.0,0.3949194122767681,0.8112893918609874,1.2320933010944484,0.3950836782085186,0.39491941227676813,0.9999999999999999,-0.5528241584276711,-0.2183960363273717,0.19735381615192416,-0.5221747703749469
